,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,zona2,zona3,zonali,zonali2,region,area,ambito,ambito2,edu,edu2,p01,p02_1,p02_2,p02_3,p03_1,p03_2,p03_3,p03_4,p04,p05,p06,p06otros,p06cod,p07_1,p07_2,p07_3,p08,p09,p10,p11,p12,PONDERADOR,PERCENTAGE,periodo
21,21,21,21,155839437,NSE D,NSE D,NSE D/E,33,De 25 a 39 años,SI,Hombre,22,Tocache,221005,Selva,8,2,-1,-1,3,2,Perú urbano,1,Primaria incompleta o completa/Secundaria incompleta,Educacion Basica,Aprueba,Desaprueba,Aprueba,Aprueba,Poco,Algo,Poco,Algo,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Poco,Poco,Nada,Tiene poca influencia,Peor,Mejor,No atenta contra la libertad de prensa,Derecha,0.8974,0.07350099214872788,AGOSTO 2021
22,22,22,22,155839671,NSE C2,NSE C,NSE C,30,De 25 a 39 años,SI,Hombre,14,Chiclayo,140105,Norte,2,2,-1,-1,1,2,Perú urbano,1,Superior técnico completa,Educacion superior,NS/NP,99,99,NS/NP,Algo,Mucho,Algo,NS/NP,No debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Nada,Nada,Nada,Tiene algo de influencia,NS/NP,Igual,Atenta contra la libertad de prensa,Centro,0.8974,0.07350099214872788,AGOSTO 2021
23,23,23,23,155839702,NSE C1,NSE C,NSE C,21,De 18 a 24 años,SI,Hombre,14,Chiclayo,140108,Norte,2,2,-1,-1,1,4,Perú urbano,1,Superior universitaria incompleta,Educacion superior,Desaprueba,Desaprueba,99,Desaprueba,Nada,Nada,Nada,Algo,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Centro,0.9032,0.07397603756265993,AGOSTO 2021
24,24,24,24,155839847,NSE B2,NSE B,NSE A/B,54,De 40 a más años,SI,Hombre,20,Paita,200501,Norte,2,2,-1,-1,1,4,Perú urbano,1,Posgrado universitario,Educacion superior,Aprueba,Aprueba,Desaprueba,Desaprueba,Mucho,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se mantenga todo el gabinete,Esperanza, ,-1,Mucho,Mucho,Mucho,Tiene algo de influencia,Mejor,Mejor,No atenta contra la libertad de prensa,Izquierda,0.9174,0.07513907978297632,AGOSTO 2021
25,25,25,25,155839895,NSE D,NSE D,NSE D/E,23,De 18 a 24 años,SI,Mujer,14,Chiclayo,140106,Norte,2,2,-1,-1,1,4,Perú rural,2,Secundaria completa,Educacion Basica,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Nada,Nada,Algo,No debe dar el voto de confianza,Que se cambie todo el gabinete,Desilusión, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Derecha,1.2933,0.10592693686867591,AGOSTO 2021
26,26,26,26,155839968,NSE A2,NSE A,NSE A/B,56,De 40 a más años,SI,Mujer,15,Lima,150113,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Aprueba,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Igual,Igual,Atenta contra la libertad de prensa,Centro,0.286,0.02342465316975281,AGOSTO 2021
27,27,27,27,155840082,NSE D,NSE D,NSE D/E,63,De 40 a más años,SI,Mujer,13,Trujillo,130105,Norte,2,2,-1,-1,1,1,Perú urbano,1,Primaria incompleta o completa/Secundaria incompleta,Educacion Basica,NS/NP,Desaprueba,Desaprueba,Aprueba,Nada,Nada,Nada,Nada,No debe dar el voto de confianza,Que se cambie todo el gabinete,Miedo, ,-1,Nada,Nada,Poco,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Centro,0.8891,0.07282118578051477,AGOSTO 2021
28,28,28,28,155840150,NSE D,NSE D,NSE D/E,46,De 40 a más años,SI,Mujer,14,Chiclayo,140120,Norte,2,2,-1,-1,1,4,Perú rural,2,Secundaria completa,Educacion Basica,Aprueba,Aprueba,Desaprueba,Desaprueba,Mucho,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se mantenga todo el gabinete,Confianza, ,-1,Nada,Nada,Nada,No tiene influencia,Mejor,Igual,No atenta contra la libertad de prensa,Derecha,1.3136,0.10758959581743809,AGOSTO 2021
29,29,29,29,155840254,NSE C1,NSE C,NSE C,19,De 18 a 24 años,SI,Hombre,8,Urubamba,81301,Sur,7,2,-1,-1,2,4,Perú urbano,1,Superior técnico incompleta,Educacion superior,Aprueba,Desaprueba,Aprueba,Aprueba,Mucho,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se cambie todo el gabinete,Esperanza, ,-1,Nada,Poco,Algo,Tiene algo de influencia,Mejor,Mejor,No atenta contra la libertad de prensa,Derecha,0.9032,0.07397603756265993,AGOSTO 2021
30,30,30,30,155840324,NSE E,NSE E,NSE D/E,77,De 40 a más años,SI,Hombre,6,Jaén,60806,Selva,8,2,-1,-1,3,5,Perú rural,2,Sin educacion/Educacion Inicial,Educacion Basica,NS/NP,Desaprueba,Aprueba,Aprueba,Nada,Nada,Poco,Poco,Sí debe dar el voto de confianza,Que se cambie todo el gabinete,Miedo, ,-1,Nada,Poco,Algo,Tiene mucha influencia,Peor,Igual,Atenta contra la libertad de prensa,NS/NP,1.3554,0.11101319897301734,AGOSTO 2021
31,31,31,31,155840554,NSE B2,NSE B,NSE A/B,45,De 40 a más años,SI,Hombre,15,Lima,150143,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,NS/NP,Aprueba,Desaprueba,Desaprueba,Mucho,Mucho,Algo,Algo,Sí debe dar el voto de confianza,Que se mantenga todo el gabinete,Esperanza, ,-1,Algo,Poco,Algo,Tiene mucha influencia,Igual,Igual,No atenta contra la libertad de prensa,Centro,0.7579,0.06207533089984495,AGOSTO 2021
32,32,32,32,155840639,NSE B2,NSE B,NSE A/B,44,De 40 a más años,SI,Mujer,24,Zarumilla,240304,Norte,2,2,-1,-1,1,4,Perú urbano,1,Secundaria completa,Educacion Basica,NS/NP,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se mantenga todo el gabinete,Esperanza, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Mejor,Igual,Atenta contra la libertad de prensa,Centro,0.8891,0.07282118578051477,AGOSTO 2021
33,33,33,33,155840860,NSE D,NSE D,NSE D/E,39,De 25 a 39 años,SI,Hombre,20,Talara,200701,Norte,2,2,-1,-1,1,3,Perú urbano,1,Superior técnico completa,Educacion superior,NS/NP,Desaprueba,Desaprueba,Desaprueba,Nada,Poco,Nada,Poco,No debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Igual,Peor,Atenta contra la libertad de prensa,Derecha,0.8974,0.07350099214872788,AGOSTO 2021
34,34,34,34,155840881,NSE E,NSE E,NSE D/E,56,De 40 a más años,SI,Hombre,14,Chiclayo,140106,Norte,2,2,-1,-1,1,1,Perú urbano,1,Sin educacion/Educacion Inicial,Educacion Basica,NS/NP,Desaprueba,Desaprueba,Desaprueba,Nada,Nada,Nada,Nada,No debe dar el voto de confianza,Que se mantenga todo el gabinete,Esperanza, ,-1,Nada,Nada,Nada,No tiene influencia,NS/NP,Peor,NS/NP,Centro,0.9174,0.07513907978297632,AGOSTO 2021
35,35,35,35,155841179,NSE E,NSE E,NSE D/E,24,De 18 a 24 años,SI,Hombre,12,Jauja,120403,Centro,6,2,-1,-1,2,4,Perú rural,2,Superior universitaria completa,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Algo,Poco,Poco,No debe dar el voto de confianza,Que se cambie todo el gabinete,Incertidumbre, ,-1,Poco,Poco,Algo,Tiene algo de influencia,Igual,Igual,Atenta contra la libertad de prensa,Izquierda,1.3344,0.10929320695705648,AGOSTO 2021
36,36,36,36,155841310,NSE C1,NSE C,NSE C,37,De 25 a 39 años,SI,Hombre,20,Piura,200101,Norte,2,2,-1,-1,1,1,Perú urbano,1,Secundaria completa,Educacion Basica,Aprueba,Aprueba,Desaprueba,Desaprueba,Mucho,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Algo,Algo,Algo,Tiene poca influencia,Igual,Mejor,Atenta contra la libertad de prensa,Izquierda,0.8974,0.07350099214872788,AGOSTO 2021
37,37,37,37,155841406,NSE D,NSE D,NSE D/E,24,De 18 a 24 años,SI,Mujer,23,Tacna,230102,Sur,4,2,-1,-1,1,1,Perú urbano,1,Superior universitaria incompleta,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Aprueba,Nada,Poco,Poco,Poco,No debe dar el voto de confianza,Que se cambie todo el gabinete,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Centro,0.8754,0.07169909575105458,AGOSTO 2021
38,38,38,38,155841598,NSE B2,NSE B,NSE A/B,18,De 18 a 24 años,SI,Mujer,8,Cusco,80101,Sur,7,2,-1,-1,2,2,Perú urbano,1,Secundaria completa,Educacion Basica,Aprueba,Desaprueba,Aprueba,Aprueba,Poco,Poco,Poco,Algo,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Poco,Algo,Algo,Tiene algo de influencia,Peor,Igual,No atenta contra la libertad de prensa,Izquierda,0.8754,0.07169909575105458,AGOSTO 2021
39,39,39,39,155841724,NSE E,NSE E,NSE D/E,23,De 18 a 24 años,SI,Hombre,16,Alto Amazonas,160201,Selva,8,2,-1,-1,3,3,Perú urbano,1,Secundaria completa,Educacion Basica,Desaprueba,Desaprueba,Aprueba,Desaprueba,Nada,Nada,Nada,Nada,No debe dar el voto de confianza,Que se cambie todo el gabinete,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Derecha,0.9032,0.07397603756265993,AGOSTO 2021
40,40,40,40,155842293,NSE A2,NSE A,NSE A/B,32,De 25 a 39 años,SI,Mujer,15,Lima,150103,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Posgrado universitario,Educacion superior,Aprueba,Aprueba,Desaprueba,Desaprueba,Algo,Mucho,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Mejor,Mejor,Atenta contra la libertad de prensa,Izquierda,0.2798,0.02291684600313579,AGOSTO 2021
41,41,41,41,155842304,NSE D,NSE D,NSE D/E,29,De 25 a 39 años,SI,Mujer,15,Huaura,150811,Centro,3,2,-1,-1,1,1,Perú urbano,1,Secundaria completa,Educacion Basica,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Nada,Nada,Nada,No debe dar el voto de confianza,Que se cambie todo el gabinete,Miedo, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Izquierda,0.8697,0.07123224077529378,AGOSTO 2021
42,42,42,42,155842493,NSE A2,NSE A,NSE A/B,28,De 25 a 39 años,SI,Mujer,15,Lima,150114,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Nada,Poco,Poco,No debe dar el voto de confianza,Que se cambie todo el gabinete,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Derecha,0.2798,0.02291684600313579,AGOSTO 2021
43,43,43,43,155842542,NSE A2,NSE A,NSE A/B,30,De 25 a 39 años,SI,Hombre,15,Lima,150132,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Desaprueba,Desaprueba,Aprueba,Aprueba,Nada,Nada,Nada,Nada,No debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Centro,0.2887,0.023645795000376352,AGOSTO 2021
44,44,44,44,155842605,NSE D,NSE D,NSE D/E,30,De 25 a 39 años,SI,Mujer,20,Piura,200101,Norte,2,2,-1,-1,1,3,Perú urbano,1,Secundaria completa,Educacion Basica,Aprueba,Aprueba,Aprueba,Aprueba,Algo,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se cambie todo el gabinete,Esperanza, ,-1,Poco,Algo,Poco,Tiene poca influencia,Mejor,Mejor,Atenta contra la libertad de prensa,Izquierda,0.8697,0.07123224077529378,AGOSTO 2021
45,45,45,45,155842675,NSE C1,NSE C,NSE C,21,De 18 a 24 años,SI,Mujer,12,Huancayo,120132,Centro,6,2,-1,-1,2,4,Perú urbano,1,Secundaria completa,Educacion Basica,Aprueba,Desaprueba,Aprueba,Desaprueba,Algo,Algo,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Nada,Poco,Poco,Tiene poca influencia,Igual,Igual,Atenta contra la libertad de prensa,Centro,0.8754,0.07169909575105458,AGOSTO 2021
46,46,46,46,155843180,NSE C2,NSE C,NSE C,41,De 40 a más años,SI,Hombre,25,Coronel Portillo,250107,Selva,8,2,-1,-1,3,3,Perú urbano,1,Superior técnico completa,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Poco,Nada,Nada,No debe dar el voto de confianza,Que se cambie todo el gabinete,Incertidumbre, ,-1,Nada,Nada,Nada,Tiene algo de influencia,Igual,Igual,Atenta contra la libertad de prensa,Centro,0.9174,0.07513907978297632,AGOSTO 2021
47,47,47,47,155843258,NSE E,NSE E,NSE D/E,35,De 25 a 39 años,SI,Hombre,3,Aymaraes,30413,Sur,7,2,-1,-1,2,4,Perú rural,2,Secundaria completa,Educacion Basica,Aprueba,Aprueba,Desaprueba,Desaprueba,Mucho,Mucho,Mucho,Mucho,Sí debe dar el voto de confianza,Que se mantenga todo el gabinete,Esperanza, ,-1,Mucho,Mucho,Algo,Tiene algo de influencia,Mejor,Mejor,No atenta contra la libertad de prensa,Izquierda,1.3258,0.10858882927432965,AGOSTO 2021
48,48,48,48,155843322,NSE C1,NSE C,NSE C,23,De 18 a 24 años,SI,Hombre,15,Lima,150105,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,Superior universitaria incompleta,Educacion superior,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Algo,Mucho,Algo,Mucho,Sí debe dar el voto de confianza,Que se cambie a algunos ministros,Incertidumbre, ,-1,Nada,Algo,Algo,Tiene mucha influencia,Igual,Igual,Atenta contra la libertad de prensa,Centro,1.5171,0.12425713749591603,AGOSTO 2021
49,49,49,49,155843331,NSE C1,NSE C,NSE C,21,De 18 a 24 años,SI,Hombre,10,Huánuco,100101,Centro,6,2,-1,-1,2,2,Perú urbano,1,Superior técnico incompleta,Educacion superior,Aprueba,Aprueba,Desaprueba,Desaprueba,Mucho,Mucho,Algo,Algo,No debe dar el voto de confianza,Que se cambie a algunos ministros,Esperanza, ,-1,Algo,Algo,Algo,Tiene algo de influencia,Igual,Peor,No atenta contra la libertad de prensa,Derecha,0.9032,0.07397603756265993,AGOSTO 2021
50,50,50,50,155843355,NSE A2,NSE A,NSE A/B,26,De 25 a 39 años,SI,Hombre,15,Lima,150130,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,Desaprueba,Desaprueba,Aprueba,Aprueba,Nada,Poco,Nada,Poco,No debe dar el voto de confianza,Que se cambie todo el gabinete,Miedo, ,-1,Nada,Nada,Nada,Tiene mucha influencia,Peor,Peor,Atenta contra la libertad de prensa,Derecha,0.2887,0.023645795000376352,AGOSTO 2021
