,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,zona2,zona3,zonali,zonali2,region,area,ambito,ambito2,edu,edu2,ocupa,ocupa2,p01,p02,p02otros,p02cod,p03,p03otros,p03cod,p04,p05_1,p05_2,p05_3,p06,p07,p08,p13,p14,p15,p16,p17,p18,p21,m1,rolhogar,rolhogar2,D12,seguro2_1,seguro2_2,seguro2_3,seguro2_4,jubila,emitedoc_1,emitedoc_2,emitedoc_3,emitedoc_4,emitedoc_5,emitedoc_6,emitedoc_99,TIPOTRAB,Identificacion_ideológica,PONDERADOR,PERCENTAGE,periodo
10,10,10,10,10,10,10,159133128,NSE D,NSE D,NSE D/E,20,De 18 a 24 años,SI,Hombre,19,Pasco,190101,Centro,6,2,-1,-1,2,1,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Estudiante,No trabaja,Aprueba,Que hará cambios en la economía, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Peor,Mejor,Muy mala,Peor,Mejor,Derecha,-1,3,3,2,-1,-1,-1,-1,3, , , , , , , ,-1,Derecha,0.9308,0.0760490383938979,OCTUBRE 2021
11,11,11,11,11,11,11,159133547,NSE E,NSE E,NSE D/E,30,De 25 a 39 años,SI,Mujer,19,Pasco,190110,Centro,6,2,-1,-1,2,1,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Ama de casa,No trabaja,Aprueba,Tener una nueva Constitución, ,-1,Que quiera hacer una Asamblea Constituyente, ,-1,Sí tiene,Desaprueba,Desaprueba,Aprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Buena,Mejor,Mejor,Regular,Mejor,Mejor,Derecha,-1,2,2,1,2,2,1,2,3, , , , , , , ,-1,Derecha,0.8849,0.07229887631581464,OCTUBRE 2021
12,12,12,12,12,12,12,159133697,NSE E,NSE E,NSE D/E,47,De 40 a más años,SI,Hombre,8,Paucartambo,81101,Sur,7,2,-1,-1,2,2,Peru urbano,1,Primaria incompleta,Educacion Basica,Agricultor,Trabajador independiente,Aprueba,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,NS/NP,Aprueba,Aprueba,Aprueba,En desacuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Peor,Mejor,Derecha,-1,1,1,1,2,2,1,2,1,0,0,0,0,0,1,0,2,Derecha,1.0231,0.08359021398882352,OCTUBRE 2021
13,13,13,13,13,13,13,159133720,NSE C1,NSE C,NSE C,24,De 18 a 24 años,SI,Hombre,11,Chincha,110205,Sur,4,2,-1,-1,1,2,Peru urbano,1,Superior técnico completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Aprueba,Que hará cambios en la economía, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,NS/NP,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Igual,Regular,Igual,Igual,Centro,-1,3,3,1,2,1,2,2,2,0,0,0,1,0,0,0,1,Centro,0.9308,0.0760490383938979,OCTUBRE 2021
14,14,14,14,14,14,14,159133941,NSE D,NSE D,NSE D/E,39,De 25 a 39 años,SI,Hombre,15,Lima,150108,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Aprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Aprueba,Desaprueba,De acuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Peor,Igual,Centro,Aprueba,3,3,1,2,1,2,2,2,0,0,0,1,0,0,0,1,Centro,1.5764,0.12879641611961826,OCTUBRE 2021
15,15,15,15,15,15,15,159134004,NSE C1,NSE C,NSE C,25,De 25 a 39 años,SI,Hombre,15,Lima,150135,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Aprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Igual,Mejor,Centro,Desaprueba,3,3,1,1,1,2,1,2,0,0,1,1,0,0,0,1,Centro,1.0095,0.08247905485457664,OCTUBRE 2021
16,16,16,16,16,16,16,159134438,NSE E,NSE E,NSE D/E,26,De 25 a 39 años,SI,Hombre,23,Tacna,230102,Sur,4,2,-1,-1,1,1,Peru urbano,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,99,NS/NP, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,NS/NP,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Regular,Igual,Peor,Mala,Peor,Peor,Centro,-1,2,2,1,2,2,1,2,3,0,0,0,0,0,1,0,2,Centro,0.9194,0.07511762559019095,OCTUBRE 2021
17,17,17,17,17,17,17,159134750,NSE E,NSE E,NSE D/E,39,De 25 a 39 años,SI,Mujer,13,Trujillo,130111,Norte,2,2,-1,-1,1,1,Peru urbano,1,Secundaria completa,Educacion Basica,Empleado del hogar,Trabajador independiente,99,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Aprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Igual,Mala,Igual,Igual,Centro,-1,1,1,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Centro,0.8849,0.07229887631581464,OCTUBRE 2021
18,18,18,18,18,18,18,159134939,NSE D,NSE D,NSE D/E,79,De 40 a más años,SI,Hombre,22,San Martín,220901,Selva,8,2,-1,-1,3,1,Peru urbano,1,Superior técnico completa,Educacion superior,No trabaja,No trabaja,Aprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Aprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Mejor,NS/NP,Regular,Mejor,NS/NP,Centro,-1,1,1,1,2,1,2,2,1, , , , , , , ,-1,Centro,1.0231,0.08359021398882352,OCTUBRE 2021
19,19,19,19,19,19,19,159134940,NSE E,NSE E,NSE D/E,21,De 18 a 24 años,SI,Mujer,16,Ucayali,160601,Selva,8,2,-1,-1,3,5,Peru rural,2,Secundaria completa,Educacion Basica,No trabaja,No trabaja,99,Que se preocupa por los que menos tienen, ,-1,El manejo de la economía del país, ,-1,No tiene,Aprueba,NS/NP,Desaprueba,De acuerdo,Aprueba,No debe dar el voto de confianza,Regular,Peor,Igual,Regular,Peor,NS/NP,Derecha,-1,3,3,1,2,2,1,2,3, , , , , , , ,-1,Derecha,0.9984,0.08157215291412512,OCTUBRE 2021
20,20,20,20,20,20,20,159135392,NSE C1,NSE C,NSE C,45,De 40 a más años,SI,Hombre,15,Lima,150132,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Posgrado universitario,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,Que hará cambios en la economía, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Muy mala,Igual,Peor,Muy mala,Igual,Igual,Derecha,Aprueba,1,1,1,2,1,2,2,1,0,0,0,1,0,0,0,1,Derecha,1.1234,0.09178501260389439,OCTUBRE 2021
21,21,21,21,21,21,21,159135906,NSE E,NSE E,NSE D/E,28,De 25 a 39 años,SI,Mujer,21,San Román,211101,Sur,7,2,-1,-1,2,1,Peru urbano,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,99,Tener una nueva Constitución, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,NS/NP,Igual,Igual,Regular,Igual,Igual,Centro,-1,1,1,2,-1,-1,-1,-1,3,1,0,0,0,0,0,0,2,Centro,0.8849,0.07229887631581464,OCTUBRE 2021
22,22,22,22,22,22,22,159135976,NSE C2,NSE C,NSE C,40,De 40 a más años,SI,Hombre,15,Lima,150135,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Tener una nueva Constitución, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Mejor,Igual,Regular,Igual,Mejor,Centro,Desaprueba,2,2,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Centro,1.1234,0.09178501260389439,OCTUBRE 2021
23,23,23,23,23,23,23,159135987,NSE E,NSE E,NSE D/E,23,De 18 a 24 años,SI,Mujer,16,Ucayali,160601,Selva,8,2,-1,-1,3,3,Peru urbano,1,Secundaria incompleta,Educacion Basica,Ama de casa,No trabaja,Aprueba,Que una persona humilde sea Presidente del Perú, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,Sí tiene,Aprueba,Aprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Buena,Igual,Igual,Buena,Igual,Igual,Izquierda,-1,3,3,2,-1,-1,-1,-1,3, , , , , , , ,-1,Izquierda,0.8958,0.07318943768076251,OCTUBRE 2021
24,24,24,24,24,24,24,159136265,NSE D,NSE D,NSE D/E,22,De 18 a 24 años,SI,Mujer,9,Huancavelica,90118,Centro,6,2,-1,-1,2,1,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Estudiante,No trabaja,Aprueba,Tener una nueva Constitución, ,-1,El manejo de la economía del país, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Buena,Igual,Igual,Regular,Igual,Igual,Derecha,-1,3,3,1,2,2,1,2,3, , , , , , , ,-1,Derecha,0.8958,0.07318943768076251,OCTUBRE 2021
25,25,25,25,25,25,25,159136372,NSE C1,NSE C,NSE C,25,De 25 a 39 años,SI,Hombre,15,Lima,150117,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior técnico incompleta,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,No tiene nada positivo, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Aprueba,Aprueba,Aprueba,De acuerdo,Desaprueba,No debe dar el voto de confianza,Mala,Igual,Peor,Regular,Igual,Igual,Centro,Aprueba,1,1,1,2,2,1,2,2,0,0,1,0,0,0,0,2,Centro,1.0095,0.08247905485457664,OCTUBRE 2021
26,26,26,26,26,26,26,159137080,NSE D,NSE D,NSE D/E,50,De 40 a más años,SI,Mujer,22,Mariscal Cáceres,220601,Selva,8,2,-1,-1,3,4,Peru rural,2,Primaria completa,Educacion Basica,Ama de casa,No trabaja,99,Que hará cambios en la economía, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,NS/NP,NS/NP,NS/NP,Sí debe dar el voto de confianza,Regular,NS/NP,Peor,Regular,Igual,NS/NP,Centro,-1,1,1,1,99,1,1,2,3, , , , , , , ,-1,Centro,1.0974,0.08966073778842239,OCTUBRE 2021
27,27,27,27,27,27,27,159137107,NSE D,NSE D,NSE D/E,37,De 25 a 39 años,SI,Hombre,8,Canchis,80601,Sur,7,2,-1,-1,2,2,Peru urbano,1,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Tener una nueva Constitución, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Aprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Igual,Regular,Igual,Igual,Centro,-1,2,2,1,2,1,2,2,1,0,0,0,1,0,0,0,1,Centro,0.9194,0.07511762559019095,OCTUBRE 2021
28,28,28,28,28,28,28,159137800,NSE C1,NSE C,NSE C,22,De 18 a 24 años,SI,Mujer,13,Trujillo,130101,Norte,2,2,-1,-1,1,1,Peru urbano,1,Superior universitaria completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,No tiene nada positivo, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Mala,Peor,Peor,Mala,Peor,Peor,Derecha,-1,1,1,2,-1,-1,-1,-1,3,0,0,1,0,0,0,0,2,Derecha,0.8958,0.07318943768076251,OCTUBRE 2021
29,29,29,29,29,29,29,159137833,NSE D,NSE D,NSE D/E,42,De 40 a más años,SI,Hombre,10,Leoncio Prado,100602,Selva,8,2,-1,-1,3,4,Peru rural,2,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Tener una nueva Constitución, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Desaprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Igual,Buena,Igual,Mejor,Derecha,-1,1,1,1,2,1,2,2,3,0,0,0,0,0,1,0,2,Derecha,1.1402,0.0931576209461994,OCTUBRE 2021
30,30,30,30,30,30,30,159137980,NSE E,NSE E,NSE D/E,47,De 40 a más años,SI,Hombre,15,Huaura,150801,Centro,3,2,-1,-1,1,3,Peru urbano,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Que una persona humilde sea Presidente del Perú, ,-1,No tiene nada negativo, ,-1,Sí tiene,Aprueba,Aprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Igual,Mejor,Izquierda,-1,1,1,2,-1,-1,-1,-1,1,0,0,0,0,0,1,0,2,Izquierda,1.0231,0.08359021398882352,OCTUBRE 2021
31,31,31,31,31,31,31,159138013,NSE E,NSE E,NSE D/E,58,De 40 a más años,SI,Mujer,14,Lambayeque,140308,Norte,2,2,-1,-1,1,1,Peru urbano,1,Primaria completa,Educacion Basica,Ama de casa,No trabaja,Desaprueba,NS/NP, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,NS/NP,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Muy mala,Igual,NS/NP,Regular,Peor,Mejor,Derecha,-1,1,1,2,-1,-1,-1,-1,3, , , , , , , ,-1,Derecha,0.9847,0.0804528234921264,OCTUBRE 2021
32,32,32,32,32,32,32,159138019,NSE D,NSE D,NSE D/E,67,De 40 a más años,SI,Mujer,2,Santa,21801,Norte,2,2,-1,-1,1,3,Peru urbano,1,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,99,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Muy mala,Igual,Igual,Regular,Igual,Igual,Centro,-1,1,1,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Centro,0.9847,0.0804528234921264,OCTUBRE 2021
33,33,33,33,33,33,33,159138226,NSE B2,NSE B,NSE A/B,67,De 40 a más años,SI,Hombre,15,Lima,150117,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Jubilado,No trabaja,Desaprueba,NS/NP, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,NS/NP,Aprueba,Desaprueba,En desacuerdo,Desaprueba,Sí debe dar el voto de confianza,Mala,Igual,Mejor,Regular,Peor,NS/NP,Centro,Desaprueba,4,3,1,2,1,2,2,1, , , , , , , ,-1,Centro,0.9614,0.07854914644595343,OCTUBRE 2021
34,34,34,34,34,34,34,159138922,NSE B2,NSE B,NSE A/B,52,De 40 a más años,SI,Hombre,15,Lima,150109,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Asalariado del sector estatal,Trabajador dependiente,99,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar,NO CONOCE MUCHO DEL GOBIERNO RECIEN ESTA APRENDIENDO,2,Sí tiene,Desaprueba,Desaprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Igual,Mejor,Buena,Mejor,Mejor,Izquierda,Desaprueba,1,1,1,2,1,1,2,2,0,0,0,1,0,0,0,1,Izquierda,0.9614,0.07854914644595343,OCTUBRE 2021
35,35,35,35,35,35,35,159138950,NSE C1,NSE C,NSE C,40,De 40 a más años,SI,Mujer,14,Lambayeque,140304,Norte,2,2,-1,-1,1,2,Peru urbano,1,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Que una persona humilde sea Presidente del Perú, ,-1,NS/NP, ,-1,Sí tiene,Aprueba,NS/NP,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Peor,Igual,Regular,Igual,Igual,Izquierda,-1,2,2,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Izquierda,0.9847,0.0804528234921264,OCTUBRE 2021
36,36,36,36,36,36,36,159139022,NSE C1,NSE C,NSE C,77,De 40 a más años,SI,Hombre,15,Lima,150117,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Jubilado,No trabaja,Aprueba,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar,LE FALTA SER MAS FIRME CON LA OPOSICION,2,Sí tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Mejor,Regular,Igual,Mejor,Izquierda,Aprueba,2,2,1,2,1,2,2,1, , , , , , , ,-1,Izquierda,1.1234,0.09178501260389439,OCTUBRE 2021
37,37,37,37,37,37,37,159139106,NSE D,NSE D,NSE D/E,54,De 40 a más años,SI,Mujer,15,Lima,150101,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,Secundaria incompleta,Educacion Basica,Ama de casa,No trabaja,Desaprueba,No tiene nada positivo, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Mala,Peor,Peor,Mala,Peor,Igual,Izquierda,Desaprueba,2,2,1,2,1,2,2,3, , , , , , , ,-1,Izquierda,1.6883,0.13793896811389966,OCTUBRE 2021
38,38,38,38,38,38,38,159139979,NSE E,NSE E,NSE D/E,27,De 25 a 39 años,SI,Mujer,22,Lamas,220503,Selva,8,2,-1,-1,3,5,Peru rural,2,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Que una persona humilde sea Presidente del Perú, ,-1,El manejo de la economía del país, ,-1,NS/NP,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,NS/NP,No debe dar el voto de confianza,Mala,Mejor,Mejor,Regular,Igual,Mejor,Centro,-1,2,2,1,2,1,1,2,3,0,0,0,0,0,1,0,2,Centro,0.9862,0.08057537780840364,OCTUBRE 2021
39,39,39,39,39,39,39,159140064,NSE E,NSE E,NSE D/E,43,De 40 a más años,SI,Hombre,19,Daniel Alcides Carrión,190201,Centro,6,2,-1,-1,2,1,Peru urbano,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Aprueba,Aprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Mejor,Mejor,Derecha,-1,1,1,1,2,2,1,2,3,0,0,0,1,0,0,0,2,Derecha,1.0231,0.08359021398882352,OCTUBRE 2021
