,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,zona2,zona3,zonali,zonali2,region,area,ambito,ambito2,edu,edu2,p01,p02_1,p02_2,p02_3,p02_4,p02_5,p02_6,p02_7,p03_1,p03_2,p03_3,p03_4,p04_1,p04_2,p04_3,p04_4,p04_5,p07,p08,p09,p11,p11otros,p11cod,p12,p13,PONDERADOR,PERCENTAGE,periodo
10,10,10,10,157327144,NSE C1,NSE C,NSE C,30,De 25 a 39 años,SI,Hombre,15,Lima,150125,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,3,1,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Nada,Nada,NS/NP,Poco,Regular,Muy mal,Regular,Muy mal,Bien,Muy bien,Si,NS/NP,99, ,-1,Centro,8,1.2953,0.10714354546784786,SETIEMBRE 2021
11,11,11,11,157327391,NSE D,NSE D,NSE D/E,24,De 18 a 24 años,SI,Hombre,15,Lima,150101,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,3,1,NS/NP,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Poco,Algo,Poco,Algo,Bien,Regular,Regular,Mal,Regular,Regular,Si,No,99, ,-1,Centro,8,1.0078,0.08336236016559645,SETIEMBRE 2021
12,12,12,12,157327484,NSE B1,NSE B,NSE A/B,23,De 18 a 24 años,SI,Hombre,15,Lima,150114,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,7,2,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Poco,Algo,Poco,Algo,Regular,Muy mal,Mal,Mal,Mal,Bien,Si,Si,6, ,-1,Derecha,2,0.6766,0.05596643469740281,SETIEMBRE 2021
13,13,13,13,157327507,NSE C2,NSE C,NSE C,26,De 25 a 39 años,SI,Hombre,4,Arequipa,40109,Sur,7,2,-1,-1,2,5,Peru rural,2,4,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Algo,Poco,Algo,Poco,Mal,Regular,Bien,Regular,Mal,Regular,Si,Si,4, ,-1,Centro,6,1.0829,0.08957441935237587,SETIEMBRE 2021
14,14,14,14,157327559,NSE E,NSE E,NSE D/E,18,De 18 a 24 años,SI,Mujer,15,Lima,150111,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,3,1,Aprueba,Aprueba,NS/NP,NS/NP,Aprueba,Aprueba,Aprueba,NS/NP,Mucho,Mucho,Mucho,Mucho,Bien,Muy bien,Muy bien,Regular,Muy bien,Muy bien,No,No,4, ,-1,Izquierda,1,0.669,0.0553377842337607,SETIEMBRE 2021
15,15,15,15,157327606,NSE E,NSE E,NSE D/E,26,De 25 a 39 años,SI,Mujer,15,Lima,150135,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,2,1,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Mucho,Mucho,Bien,Bien,Muy bien,Bien,Muy bien,Muy bien,Si,Si,99, ,-1,Derecha,10,0.7637,0.06317109987940664,SETIEMBRE 2021
16,16,16,16,157327935,NSE D,NSE D,NSE D/E,45,De 40 a más años,SI,Hombre,15,Lima,150137,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,2,1,Desaprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,Algo,Poco,NS/NP,Poco,Regular,NS/NP,Regular,Regular,NS/NP,Mal,Si,Si,99, ,-1,NS/NP,1,1.2031,0.09951702273787368,SETIEMBRE 2021
17,17,17,17,157328840,NSE D,NSE D,NSE D/E,29,De 25 a 39 años,SI,Mujer,11,Chincha,110210,Sur,4,2,-1,-1,1,4,Peru rural,2,6,2,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Poco,Algo,Poco,Algo,Regular,Regular,Regular,Bien,Regular,Regular,Si,No,12,LOS CONGRESISTAS,12,Derecha,7,1.1037,0.09129493641076483,SETIEMBRE 2021
18,18,18,18,157329039,NSE C1,NSE C,NSE C,20,De 18 a 24 años,SI,Hombre,21,Carabaya,210308,Sur,7,2,-1,-1,2,1,Peru urbano,1,4,2,NS/NP,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Algo,Mucho,Regular,Bien,Bien,Bien,Bien,Muy bien,Si,No,4, ,-1,Izquierda,1,0.8371,0.06924253988352926,SETIEMBRE 2021
19,19,19,19,157329243,NSE D,NSE D,NSE D/E,20,De 18 a 24 años,SI,Mujer,20,Piura,200115,Norte,2,2,-1,-1,1,3,Peru urbano,1,4,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Algo,Algo,Algo,Algo,Regular,Regular,Regular,Regular,Regular,Bien,No,NS/NP,8,CERRON,8,Centro,4,0.8532,0.07057428626045534,SETIEMBRE 2021
20,20,20,20,157329309,NSE E,NSE E,NSE D/E,66,De 40 a más años,SI,Hombre,8,La Convención,80911,Selva,8,2,-1,-1,3,4,Peru rural,2,2,1,NS/NP,NS/NP,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,NS/NP,Algo,Algo,Algo,Algo,Bien,Bien,Bien,Bien,Bien,Bien,Si,No,99, ,-1,Izquierda,10,1.1326,0.0936854625159303,SETIEMBRE 2021
21,21,21,21,157329330,NSE C2,NSE C,NSE C,20,De 18 a 24 años,SI,Mujer,11,Chincha,110206,Sur,4,2,-1,-1,1,4,Peru rural,2,3,1,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Algo,Algo,Algo,Poco,Regular,Regular,Bien,Regular,Regular,Bien,Si,Si,99, ,-1,Derecha,5,0.9669,0.07997922806520659,SETIEMBRE 2021
22,22,22,22,157329911,NSE A1,NSE A,NSE A/B,59,De 40 a más años,SI,Mujer,15,Lima,150114,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,7,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Nada,Nada,Nada,Nada,Muy mal,Muy mal,Regular,Muy mal,Muy mal,Regular,Si,Si,98, ,-1,Centro,1,0.4345,0.03594060874375041,SETIEMBRE 2021
23,23,23,23,157329997,NSE D,NSE D,NSE D/E,21,De 18 a 24 años,SI,Hombre,15,Lima,150125,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,5,2,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Algo,Poco,Poco,Algo,Regular,Regular,Regular,Muy bien,Regular,Muy bien,Si,No,99, ,-1,Centro,1,1.0078,0.08336236016559645,SETIEMBRE 2021
24,24,24,24,157330178,NSE D,NSE D,NSE D/E,61,De 40 a más años,SI,Mujer,16,Maynas,160101,Selva,8,2,-1,-1,3,3,Peru urbano,1,5,2,NS/NP,Aprueba,NS/NP,Aprueba,Desaprueba,NS/NP,NS/NP,NS/NP,Algo,Mucho,Poco,Mucho,Regular,Regular,NS/NP,Regular,Regular,Muy bien,Si,No,99, ,-1,NS/NP,99,1.0185,0.08424743384467155,SETIEMBRE 2021
25,25,25,25,157330720,NSE D,NSE D,NSE D/E,21,De 18 a 24 años,SI,Mujer,11,Pisco,110503,Sur,4,2,-1,-1,1,4,Peru rural,2,4,2,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Poco,Poco,Nada,Muy mal,Mal,Regular,Regular,Mal,Bien,Si,Si,4, ,-1,Derecha,5,0.9669,0.07997922806520659,SETIEMBRE 2021
26,26,26,26,157330946,NSE C2,NSE C,NSE C,35,De 25 a 39 años,SI,Hombre,22,Rioja,220804,Selva,8,2,-1,-1,3,3,Peru urbano,1,3,1,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Algo,Mucho,Algo,Algo,Regular,Regular,Regular,Bien,Bien,Regular,Si,No,99, ,-1,Centro,8,0.9555,0.07903625236974342,SETIEMBRE 2021
27,27,27,27,157331263,NSE B1,NSE B,NSE A/B,24,De 18 a 24 años,SI,Hombre,15,Lima,150106,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,7,2,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Poco,Poco,Nada,Nada,Mal,Mal,Bien,Muy mal,Muy mal,Muy bien,Si,Si,8,VLADIMIR CERRON,8,Derecha,3,0.6766,0.05596643469740281,SETIEMBRE 2021
28,28,28,28,157331275,NSE D,NSE D,NSE D/E,55,De 40 a más años,SI,Mujer,20,Piura,200110,Norte,2,2,-1,-1,1,3,Peru urbano,1,3,1,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Nada,Algo,Nada,Algo,Muy mal,Mal,Mal,Mal,Regular,Regular,Si,No,15,ACCION POPULAR,15,Derecha,2,1.0185,0.08424743384467155,SETIEMBRE 2021
29,29,29,29,157331279,NSE B2,NSE B,NSE A/B,60,De 40 a más años,SI,Hombre,16,Maynas,160101,Selva,8,2,-1,-1,3,2,Peru urbano,1,6,2,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Nada,Nada,Nada,Mal,Muy mal,Mal,Muy mal,Mal,Regular,Si,No,99, ,-1,Derecha,1,0.9993,0.08265926425231249,SETIEMBRE 2021
30,30,30,30,157331594,NSE D,NSE D,NSE D/E,18,De 18 a 24 años,SI,Hombre,2,Huaraz,20101,Norte,5,2,-1,-1,2,4,Peru rural,2,1,1,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Algo,Algo,Mucho,Mucho,Muy bien,Bien,Bien,Bien,Muy bien,Muy bien,Si,No,99, ,-1,Derecha,9,0.9487,0.07847377563911624,SETIEMBRE 2021
31,31,31,31,157331654,NSE D,NSE D,NSE D/E,25,De 25 a 39 años,SI,Hombre,6,Cajamarca,60101,Norte,5,2,-1,-1,2,1,Peru urbano,1,6,2,NS/NP,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Algo,Algo,Poco,Mucho,Regular,Regular,Regular,NS/NP,NS/NP,Bien,Si,No,4, ,-1,Izquierda,3,0.9555,0.07903625236974342,SETIEMBRE 2021
32,32,32,32,157331771,NSE C2,NSE C,NSE C,72,De 40 a más años,SI,Mujer,20,Morropón,200407,Norte,2,2,-1,-1,1,2,Peru urbano,1,5,2,NS/NP,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Algo,NS/NP,Algo,Algo,Regular,Regular,Regular,Regular,Regular,Bien,Si,No,4, ,-1,Centro,2,1.0185,0.08424743384467155,SETIEMBRE 2021
33,33,33,33,157331911,NSE D,NSE D,NSE D/E,47,De 40 a más años,SI,Mujer,15,Lima,150125,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,2,1,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Algo,Algo,Poco,Algo,Muy mal,Mal,Mal,Regular,Mal,Bien,Si,No,4, ,-1,Centro,2,1.2262,0.10142778927868065,SETIEMBRE 2021
34,34,34,34,157332633,NSE E,NSE E,NSE D/E,30,De 25 a 39 años,SI,Mujer,19,Pasco,190103,Centro,6,2,-1,-1,2,2,Peru urbano,1,3,1,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Poco,Nada,Poco,Poco,Mal,Regular,Regular,Regular,Bien,Bien,Si,Si,10,BELLIDO,10,Izquierda,10,0.9739,0.0805582482290875,SETIEMBRE 2021
35,35,35,35,157332690,NSE D,NSE D,NSE D/E,45,De 40 a más años,SI,Mujer,20,Piura,200114,Norte,2,2,-1,-1,1,3,Peru urbano,1,2,1,NS/NP,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Mucho,Poco,Mucho,Poco,Bien,Bien,Bien,Muy bien,Muy bien,Muy bien,Si,Si,99, ,-1,Derecha,10,1.0185,0.08424743384467155,SETIEMBRE 2021
36,36,36,36,157332794,NSE B2,NSE B,NSE A/B,44,De 40 a más años,SI,Mujer,15,Prov. Const. del Callao,70102,Lima Metropolitana,1,1,6,-1,1,-1,Lima Metropolitana,1,5,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Nada,Algo,Poco,Nada,Regular,Mal,Mal,Mal,Mal,Regular,Si,No,4, ,-1,Derecha,1,0.8233,0.0681010429890212,SETIEMBRE 2021
37,37,37,37,157333067,NSE D,NSE D,NSE D/E,18,De 18 a 24 años,SI,Mujer,15,Lima,150117,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,6,2,NS/NP,Desaprueba,NS/NP,NS/NP,Aprueba,Aprueba,NS/NP,NS/NP,Poco,Algo,Algo,Algo,Mal,Regular,Regular,Mal,Regular,Regular,Si,No,4, ,-1,Centro,3,1.0272,0.08496707319120923,SETIEMBRE 2021
38,38,38,38,157333249,NSE C1,NSE C,NSE C,41,De 40 a más años,SI,Mujer,2,Santa,21801,Norte,2,2,-1,-1,1,3,Peru urbano,1,5,2,Aprueba,Aprueba,Aprueba,Aprueba,NS/NP,Aprueba,Aprueba,Aprueba,Algo,Algo,Algo,Algo,Regular,Regular,Regular,Regular,Regular,Bien,Si,No,4, ,-1,Centro,5,1.0185,0.08424743384467155,SETIEMBRE 2021
39,39,39,39,157333544,NSE C2,NSE C,NSE C,31,De 25 a 39 años,SI,Hombre,23,Tacna,230101,Sur,4,2,-1,-1,1,1,Peru urbano,1,7,2,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Algo,Algo,Poco,Algo,Regular,Regular,Regular,Regular,Regular,Bien,Si,No,12,EL CONGRESO,12,Centro,3,0.9555,0.07903625236974342,SETIEMBRE 2021
40,40,40,40,157333586,NSE E,NSE E,NSE D/E,66,De 40 a más años,SI,Mujer,14,Lambayeque,140308,Norte,2,2,-1,-1,1,4,Peru rural,2,2,1,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Poco,Algo,Nada,Nada,Regular,Regular,Regular,Mal,Regular,Bien,No,NS/NP,99, ,-1,Izquierda,3,1.1543,0.0954804250239611,SETIEMBRE 2021
41,41,41,41,157333677,NSE A2,NSE A,NSE A/B,21,De 18 a 24 años,SI,Mujer,15,Lima,150108,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,6,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Nada,Poco,Nada,Nada,Muy mal,Muy mal,Mal,Muy mal,Muy mal,Regular,Si,Si,99, ,-1,Derecha,3,0.3639,0.03010077680518014,SETIEMBRE 2021
42,42,42,42,157333725,NSE D,NSE D,NSE D/E,21,De 18 a 24 años,SI,Hombre,15,Prov. Const. del Callao,70101,Lima Metropolitana,1,1,6,-1,1,-1,Lima Metropolitana,1,7,2,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Nada,Algo,Algo,Nada,Regular,Regular,Muy mal,Regular,Muy mal,Mal,No,No,8,cerron,8,Centro,2,1.0078,0.08336236016559645,SETIEMBRE 2021
43,43,43,43,157334012,NSE D,NSE D,NSE D/E,24,De 18 a 24 años,SI,Mujer,5,Huamanga,50101,Sur,7,2,-1,-1,2,2,Peru urbano,1,7,2,NS/NP,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Algo,Poco,Algo,Poco,Regular,Regular,Bien,Bien,Regular,Bien,Si,No,99, ,-1,Centro,7,0.8532,0.07057428626045534,SETIEMBRE 2021
44,44,44,44,157334050,NSE C1,NSE C,NSE C,32,De 25 a 39 años,SI,Hombre,15,Lima,150101,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,3,1,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Nada,Nada,Nada,Nada,Muy mal,Mal,Muy mal,Muy mal,Muy mal,Regular,Si,Si,8,CERRON,8,Derecha,1,1.2953,0.10714354546784786,SETIEMBRE 2021
45,45,45,45,157334144,NSE E,NSE E,NSE D/E,40,De 40 a más años,SI,Hombre,13,Trujillo,130101,Norte,2,2,-1,-1,1,1,Peru urbano,1,4,2,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Nada,Algo,Nada,Algo,Regular,Mal,Regular,Mal,Regular,Regular,Si,Si,8,CERRON,8,Izquierda,1,0.9993,0.08265926425231249,SETIEMBRE 2021
46,46,46,46,157334596,NSE B2,NSE B,NSE A/B,50,De 40 a más años,SI,Mujer,4,Arequipa,40101,Sur,7,2,-1,-1,2,1,Peru urbano,1,2,1,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Poco,Poco,Poco,Poco,NS/NP,NS/NP,Muy bien,Regular,Regular,Bien,Si,Si,99, ,-1,Izquierda,4,1.0185,0.08424743384467155,SETIEMBRE 2021
47,47,47,47,157334636,NSE B1,NSE B,NSE A/B,41,De 40 a más años,SI,Hombre,15,Lima,150116,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,8,2,Aprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Algo,Algo,Poco,Poco,Bien,Regular,Regular,Mal,Regular,Bien,Si,Si,98, ,-1,Centro,3,0.8078,0.06681892691185633,SETIEMBRE 2021
48,48,48,48,157334669,NSE E,NSE E,NSE D/E,40,De 40 a más años,SI,Hombre,1,Utcubamba,10706,Selva,8,2,-1,-1,3,4,Peru rural,2,4,2,Aprueba,NS/NP,NS/NP,Desaprueba,NS/NP,Aprueba,Aprueba,Aprueba,Algo,Algo,Algo,Algo,Regular,Regular,Regular,Mal,Regular,Bien,Si,No,4, ,-1,Centro,6,1.1326,0.0936854625159303,SETIEMBRE 2021
49,49,49,49,157335078,NSE B1,NSE B,NSE A/B,36,De 25 a 39 años,SI,Hombre,15,Lima,150112,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,4,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Poco,Poco,Nada,Poco,Mal,Mal,Muy mal,Mal,Muy mal,Regular,Si,Si,99, ,-1,Derecha,1,0.7724,0.06389073922594433,SETIEMBRE 2021
50,50,50,50,157335182,NSE E,NSE E,NSE D/E,54,De 40 a más años,SI,Hombre,19,Daniel Alcides Carrión,190204,Centro,6,2,-1,-1,2,1,Peru urbano,1,5,2,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Algo,Algo,Algo,Algo,Regular,Regular,Regular,Regular,Regular,Bien,Si,No,18,LOS GRANDES  MONOPOLIOS  O LOS EMPRESA,18,Centro,5,0.9993,0.08265926425231249,SETIEMBRE 2021
51,51,51,51,157335732,NSE C2,NSE C,NSE C,29,De 25 a 39 años,SI,Hombre,6,San Marcos,61001,Norte,5,2,-1,-1,2,1,Peru urbano,1,3,1,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Mucho,Mucho,Algo,Mucho,Bien,Bien,Regular,Bien,Bien,Muy bien,Si,No,13,"LOS MEDIOS DE COMUNICACION, LOS DEFENSORES  DE LA LIBERTAD, EL FUJIMORISMOS Y LO DE LAS RESISTENCIA",13,Centro,3,0.9555,0.07903625236974342,SETIEMBRE 2021
52,52,52,52,157335798,NSE E,NSE E,NSE D/E,27,De 25 a 39 años,SI,Mujer,15,Canta,150407,Centro,6,2,-1,-1,2,4,Peru rural,2,5,2,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Mucho,Algo,Algo,Algo,Regular,Regular,Regular,Muy mal,Regular,Bien,Si,No,4, ,-1,Izquierda,4,1.1037,0.09129493641076483,SETIEMBRE 2021
53,53,53,53,157335883,NSE D,NSE D,NSE D/E,20,De 18 a 24 años,SI,Hombre,19,Pasco,190102,Centro,6,2,-1,-1,2,2,Peru urbano,1,3,1,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,NS/NP,Algo,Algo,Algo,Algo,Mal,Regular,Bien,Regular,Regular,Bien,Si,No,99, ,-1,Derecha,5,0.8371,0.06924253988352926,SETIEMBRE 2021
54,54,54,54,157336070,NSE C1,NSE C,NSE C,42,De 40 a más años,SI,Hombre,11,Ica,110107,Sur,4,2,-1,-1,1,4,Peru urbano,1,4,2,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Nada,Nada,Algo,Nada,Regular,Mal,Regular,Regular,Mal,Regular,Si,No,4, ,-1,Derecha,4,0.9993,0.08265926425231249,SETIEMBRE 2021
55,55,55,55,157336113,NSE E,NSE E,NSE D/E,22,De 18 a 24 años,SI,Hombre,6,San Ignacio,60907,Selva,8,2,-1,-1,3,1,Peru urbano,1,3,1,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Poco,Mucho,Poco,Mucho,Bien,Regular,Bien,Bien,Regular,Bien,Si,Si,11,FUERZA POPULAR,11,Centro,7,0.8371,0.06924253988352926,SETIEMBRE 2021
56,56,56,56,157336259,NSE D,NSE D,NSE D/E,41,De 40 a más años,SI,Hombre,15,Lima,150122,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,7,2,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Nada,Mucho,Nada,Mucho,Regular,Mal,Muy mal,Regular,Mal,Bien,Si,Si,12,CONGRESIO,12,Derecha,1,1.2031,0.09951702273787368,SETIEMBRE 2021
